Episode;Quote;Author;Who said it
6�03 Remembrance of Things Past;When I was younger I could remember anything, whether it happened or not but my faculties are decaying, now, and soon I shall be so I cannot remember any but the latter. It is sad to go to pieces like this, but we all have to do it.;Mark Twain;Rossi
6�04 Compromising Positions;Whatever you are, be a good one.;Abraham Lincoln;Garcia
6�04 Compromising Positions;We all wear masks and the time comes when we cannot remove them without removing our own skin.;Andr� Berthiaume;Prentiss
6�05 Safe Haven;All humanity is one undivided and indivisible family. I cannot detach myself from the wickedest soul.;Mahatma Ghandi;Morgan
6�05 Safe Haven;�But I have promises to keep and miles to go before I sleep. And miles to go before I sleep.�;Robert Frost;Morgan
6�06 Devil's Night;If an injury has to be done to a man, it should be so severe that his vengeance need not be feared.;Niccolo Machiavelli;Hotch
6�06 Devil's Night;�Love feels no burden, thinks nothing of its trouble, attempts what is above its strength, pleads no excuse for impossibility, for it thinks all things are lawful for itself and all things are possible.� ;Thomas A. Kempis;Hotch
6�07 Middle Man;The herds seek out the great, not for their seed, but for their influence and the great welcome them out of vanity or need.;Napoleon Bonaparte;Hotch
6�07 Middle Man;Without heroes we are all plain people and don't know how far we can go. ;Bernard Malamud;Hotch
6�08 Reflection of Desire;Fame will go by and, so long, I've had you, fame. If it goes by, I've always known it was fickle. So at least it's something I experience, but that's not where I live.;Marilyn Monroe;Garcia
6�08 Reflection of Desire;I believe humanity was born from conflict. Maybe that's why in all of us lives a dark side. Some of us embrace it. Some have no choice. The rest of us fight it. And in the end, it's as natural as the air we breathe. Some point, we're forced to face the truth�ourselves.;Penelope Garcia;Garcia
6�09 Into the Woods;I am invisible, understand, simply because people refuse to see me.;Ralph Ellison;Morgan
6�09 Into the Woods;Evil endures a moment's flush and then leaves but a burnt up shell.;Elise Cabot;Hotch
6�10 What Happens at Home;When we were children, we used to think that when we grew up we would no longer be vulnerable. But to grow up is to accept vulnerability, to be alive is to be vulnerable.;Madeleine L'Engle;Hotch
6�10 What Happens at Home;Children begin by loving their parents. As they grow older they judge them, sometimes they forgive them.;Oscar Wilde;Rossi
6�11 25 to Life;There is no such thing as part freedom.;Nelson Mandela;Morgan
6�11 25 to Life;All truths are easy to understand once they are discovered the point is to discover them.;Galileo Galilei;Morgan
6�12 Coraz�n;No man chooses evil because it is evil he only mistakes it for happiness, the good he seeks.;Mary Wollstonecraft Shelley;Reid
6�12 Coraz�n;The best and most beautiful things in the world cannot be seen or even touched � they must be felt with the heart.;Helen Keller;Reid
6�13 The Thirteenth Step;What really raises one's indignation against suffering is not suffering intrinsically, but the senselessness of suffering.;Frederich Nietzsche;Prentiss
6�13 The Thirteenth Step;What happened in the past that was painful has a great deal to do with what we are today.;William Glasser;Prentiss
6�14 Sense Memory;�Hunting is not a sport. In a sport, both sides should know they're in the game.�;Paul Rodriguez;Morgan
6�14 Sense Memory;Nothing revives the past so completely as a smell that was once associated with it.;Vladimir Nabokov ;Prentiss
6�15 Today I Do;�It's hard to fight an enemy who has outposts in your head.�;Sally Kempton;Rossi
6�15 Today I Do;�There's no chance, no destiny, no fate, that can circumvent or hinder or control the firm resolve of a determined soul.�;Ella Wheeler Wilcox;Prentiss
6�16 Coda;Tomorrow, you promise yourself, will be different, yet, tomorrow is too often a repetition of today.;James T. McKay;Reid
6�16 Coda;Most people of action are inclined to fatalism and most people of thought believe in providence. ;Honore de Balzac ;Ian Doyle
6�17 Valhalla;When I let go of what I am, I become what I might be.;Lao Tzu;Prentiss
6�17 Valhalla;Confession is always weakness. The grave soul keeps its own secrets, and takes its own punishment in silence. ;Dorothea Dix;Prentiss
